slug,editorial_type,topics
"bamboo-is-a-grass","did_you_know","plant-science,botany,general,bamboo-basics,why,quiz"
"bamboo-family-poaceae","did_you_know","plant-science,botany,general,bamboo-basics,why,quiz"
"bamboo-species-count","fun_fact","plant-science,biodiversity,general,bamboo-basics,why,quiz"
"bamboo-climate-range","did_you_know","plant-science,climate,general,bamboo-basics,why,quiz"
"bamboo-culm-stem","did_you_know","plant-anatomy,botany,general,bamboo-basics,why,quiz"
"bamboo-rhizomes","did_you_know","plant-anatomy,rhizomes,general,bamboo-basics,why,quiz"
"bamboo-solid-nodes","did_you_know","plant-anatomy,botany,general,bamboo-basics,why,quiz"
"bamboo-hollow-internodes","did_you_know","plant-anatomy,botany,general,bamboo-basics,why,quiz"
"bamboo-culm-sheaths","did_you_know","plant-growth,botany,general,bamboo-basics,why,quiz"
"running-bamboo-rhizomes","fun_fact","rhizomes,plant-growth,general,bamboo-basics,why,quiz"
"clumping-bamboo-rhizomes","fun_fact","rhizomes,plant-growth,general,bamboo-basics,why,quiz"
"bamboo-first-year-height","fun_fact","plant-growth,botany,general,bamboo-basics,why,quiz"
"bamboo-growth-record","fun_fact","plant-growth,botany,general,bamboo-basics,why,quiz"
"bamboo-flowering-intervals","nature_note","flowering,plant-life-cycle,general,why,quiz,vibe"
"bamboo-gregarious-flowering","nature_note","flowering,ecology,general,why,quiz,vibe"
"bamboo-after-flowering","nature_note","flowering,ecology,general,why,quiz,vibe"
"bamboo-sporadic-flowering","nature_note","flowering,plant-life-cycle,general,why,quiz,vibe"
"bamboo-clonal-patches","fun_fact","rhizomes,plant-growth,general,bamboo-basics,why,quiz"
"native-american-rivercane","nature_note","native-plants,rivercane,general,why,quiz,vibe"
"rivercane-canebrake","nature_note","rivercane,habitat,general,why,quiz,vibe"
"rivercane-height","fun_fact","rivercane,habitat,general,why,quiz,vibe"
"rivercane-streambanks","nature_note","rivercane,ecology,general,why,quiz,vibe"
"rivercane-wildlife-habitat","nature_note","rivercane,wildlife,general,why,quiz,vibe"
"rivercane-cultural-protection","culture_craft","rivercane,culture,general,why,quiz,vibe,craft-history"
"rivercane-basketry","culture_craft","rivercane,culture,general,why,quiz,vibe,craft-history"
"rivercane-fire-regrowth","nature_note","rivercane,ecology,general,why,quiz,vibe"
"rivercane-former-range","nature_note","rivercane,conservation,general,why,quiz,vibe"
"panda-bamboo-diet","nature_note","pandas,wildlife,general,why,quiz,vibe"
"panda-daily-bamboo","fun_fact","pandas,wildlife,general,why,quiz,vibe"
"panda-eating-hours","fun_fact","pandas,wildlife,general,why,quiz,vibe"
"panda-pseudo-thumb","nature_note","pandas,wildlife,general,why,quiz,vibe"
"panda-digestive-system","nature_note","pandas,wildlife,general,why,quiz,vibe"
"panda-seasonal-bamboo","nature_note","pandas,wildlife,general,why,quiz,vibe"
"panda-bamboo-preferences","fun_fact","pandas,wildlife,general,why,quiz,vibe"
"edible-bamboo-shoots","culture_craft","food,shoots,general,kitchen,dining,shop,product"
"bamboo-shoot-styles","fun_fact","food,shoots,general,kitchen,dining,shop,product"
"bamboo-building-use","design_note","building,material,general,design,home,product-research,shop,product"
"bamboo-pulp-paper","material_myth","paper,material,general,design,home,product-research,shop,product"
"bamboo-crafts-utensils","culture_craft","home-goods,craft,general,design,home,product-research,shop,product"
"bamboo-energy-use","material_myth","energy,material,general,sustainability,design,home,product-research,shop"
"bamboo-soil-binder","nature_note","ecology,soil,general,why,quiz,vibe"
"bamboo-scaffolding","design_note","building,material,general,design,home,product-research,shop,product"
"bamboo-weaving-heritage","culture_craft","craft,culture,general,design,home,product-research,shop,product"
"bamboo-limbe-flute","culture_craft","music,culture,general,craft-history,design,home,vibe,quiz"
"lucky-bamboo-lookalike","material_myth","plant-id,myth,general,bamboo-basics,why,quiz,vibe"
"heavenly-bamboo-lookalike","material_myth","plant-id,myth,general,bamboo-basics,why,quiz,vibe"
"bamboo-rayon-label","material_myth","textiles,material,general,sustainability,product-research,shop,product"
"actual-bamboo-fiber","material_myth","textiles,material,general,sustainability,product-research,shop,product"
"bamboo-fabric-claims","material_myth","textiles,material,general,sustainability,product-research,shop,product"
"engineered-bamboo-composites","design_note","building,material,general,design,home,product-research,shop,product"
